,S#,SNAME,SEX,BDATE,HEIGHT,DORM
1085,09033914,靳亚盛,女,2004/11/16,1.69,东15舍413
1086,07092447,赵仁杰,女,2003/12/3,1.75,东15舍413
1087,07019315,周世超,女,2001/8/25,1.71,东8舍716
1088,04058795,林幸琦,男,2002/4/27,1.96,西1舍416
1089,09087675,吕鸿妤,男,2001/5/16,1.72,西1舍416
1090,05091233,华佳琳,男,2004/8/15,1.82,西1舍416
1091,06041482,曲宏图,女,2001/6/20,1.67,东8舍716
1092,02076065,李雨浩,男,2003/9/18,1.8,东6舍622
1093,01044645,章佳雯,女,2004/5/7,1.68,东8舍716
1094,08036505,王飞,男,2001/5/20,1.72,东6舍622
1095,09083946,张亦婷,男,2003/6/6,1.86,东6舍622
1096,04096222,蒿呈垚,女,2002/7/11,1.73,东8舍716
1097,09050174,严妍,女,2003/10/26,1.7,东9舍631
1098,06065774,谢敏菲,男,2002/6/28,1.73,东6舍622
1099,01051737,许展跃,女,2001/2/17,1.56,东9舍631
1100,07099683,张子航,男,2002/8/7,1.83,西14舍231
1101,09044207,朱兴达,女,2002/6/16,1.76,东9舍631
1102,08053442,覃蓉婷,男,2004/11/12,1.78,西14舍231
1103,05036674,赵程,女,2002/2/10,1.67,东9舍631
1104,06061153,陈楚恒,女,2002/3/28,1.67,东19舍711
1105,07073430,李慧媛,女,2005/3/30,1.69,东19舍711
1106,04094914,黄彬芳,女,2003/3/14,1.69,东19舍711
1107,01097565,白新源,女,2003/3/26,1.68,东19舍711
1108,02064760,华金超,男,2005/10/6,1.64,西14舍231
1109,06019979,沈创,女,2004/3/21,1.71,东11舍614
1110,05058645,唐嘉怿,女,2002/3/8,1.82,东11舍614
1111,09078460,陈彦熙,女,2004/5/1,1.66,东11舍614
1112,08048027,王译,男,2005/9/4,1.64,西14舍231
1113,09072566,黄天宇,女,2004/7/7,1.68,东11舍614
1114,06070653,陈诗羽,男,2004/10/6,1.81,西25舍309
1115,09050150,岳芳,女,2003/12/14,1.63,东2舍538
1116,01066985,贝辰祺,男,2004/3/11,1.69,西25舍309
1117,05082084,杨思怡,女,2003/10/20,1.63,东2舍538
1118,06067228,张晓源,男,2005/3/30,1.75,西25舍309
1119,04013383,冯家馨,男,2002/11/7,1.87,西25舍309
1120,02061513,王亦玄,女,2002/8/8,1.52,东2舍538
1121,02068894,胡晨,女,2004/10/26,1.74,东2舍538
1122,07072901,王建祥,女,2005/8/19,1.64,西28舍740
1123,09018638,蒋修齐,男,2005/6/1,1.92,西14舍309
1124,01054154,王战将,男,2005/12/5,1.74,西14舍309
1125,04027203,严 圣,男,2001/12/8,1.67,西14舍309
1126,03013326,刘 涛,男,2001/7/24,1.89,西14舍309
1127,01098385,史童月,女,2002/4/6,1.66,西28舍740
1128,05078969,王海宁,女,2004/3/12,1.6,西28舍740
1129,02052490,陶思宇,女,2003/10/24,1.65,西28舍740
1130,02047177,"张殷璇
烨",女,2002/5/25,1.64,西15舍326
1131,02094817,许瑶,男,2002/7/30,1.54,西27舍714
1132,09089554,杨双林,男,2004/3/6,1.65,西27舍714
1133,01093937,邵伊铭,男,2001/4/5,1.79,西27舍714
1134,06024117,陈柯妤,男,2002/11/8,1.9,西27舍714
1135,05036773,郭佳怡,男,2002/11/20,1.71,西13舍517
1136,02073550,郭庆,男,2002/9/6,1.75,西13舍517
1137,06044518,吕健恺,女,2001/2/19,1.52,西15舍326
1138,03022958,杨珺兰,女,2004/10/18,1.56,西15舍326
1139,03024203,吕立鹏,女,2001/1/17,1.57,西15舍326
1140,03033767,徐浩亮,女,2005/11/10,1.7,东26舍324
1141,06013535,费朦佳,男,2003/12/23,1.74,西13舍517
1142,08083370,孙淑玟,女,2004/7/6,1.62,东26舍324
1143,09025472,沈秋乐,女,2005/2/19,1.6,东26舍324
1144,08093427,钟晴晴,男,2001/11/7,1.68,西13舍517
1145,05038378,刘恩慧,女,2003/3/13,1.55,东26舍324
1146,01074862,陈益新,男,2003/9/29,1.74,西5舍501
1147,08070485,李昀泽,女,2005/11/3,1.61,东15舍706
1148,01024726,施佳仪,女,2004/3/2,1.58,东15舍706
1149,09098406,刘淇悦,男,2003/12/16,1.69,西5舍501
1150,04028775,祝海玥,男,2002/7/17,1.71,西5舍501
1151,08086766,陶扬,男,2005/10/16,1.79,西5舍501
1152,06023315,汪耀,女,2003/4/15,1.74,东15舍706
1153,05040268,秦喆,女,2002/6/2,1.58,东15舍706
1154,07046559,张超群,女,2005/8/22,1.57,西24舍732
1155,05083959,纪文潮,男,2004/5/5,1.73,西14舍529
1156,09082365,范银兵,男,2004/1/16,1.63,西14舍529
1157,08041781,聂传斌,女,2001/2/28,1.84,西24舍732
1158,08074378,罗睿强,男,2004/4/16,1.99,西14舍529
1159,06060195,周佟,男,2001/10/16,1.81,西14舍529
1160,05014620,赵鑫倩,女,2005/10/29,1.69,西24舍732
1161,07095491,林宏伟,女,2004/4/5,1.73,西24舍732
1162,09044990,张伟迪,女,2004/9/2,1.86,东2舍333
1163,07076393,赵一博,女,2002/6/20,1.62,东2舍333
1164,09081445,马雨林,女,2001/3/20,1.66,东2舍333
1165,04051649,谭青云,女,2004/12/4,1.76,东2舍333
1166,03063741,杨晨,男,2005/6/11,1.6,东28舍721
1167,01088046,赵贤贤,女,2002/12/18,1.6,西7舍515
1168,01086218,仲彦名,女,2003/10/12,1.83,西7舍515
1169,09011669,胡庭玮,男,2005/6/19,1.54,东28舍721
1170,03092295,叶涵,女,2004/4/18,1.6,西7舍515
1171,01099859,刘一凡,女,2001/4/29,1.8,西7舍515
1172,02074071,胡宇辉,女,2002/6/30,1.66,西15舍534
1173,07013721,周泽梁,男,2002/4/6,1.83,东28舍721
1174,07017935,何晨,男,2001/2/16,1.58,东28舍721
1175,05073848,王栎,女,2001/2/20,1.66,西15舍534
1176,06046821,陈申奥,男,2002/10/27,1.74,西27舍531
1177,04039199,崔金鑫,男,2005/1/29,1.57,西27舍531
1178,04010066,吴和兴,男,2002/7/24,1.71,西27舍531
1179,01094912,朱敏伟,男,2004/3/22,1.76,西27舍531
1180,08016729,许高亮,男,2005/1/6,1.8,东28舍513
1181,03067560,吴世琦,男,2003/4/6,1.62,东28舍513
1182,09086022,厉佳瑶,男,2005/8/24,1.7,东28舍513
1183,01061621,许定津,女,2001/5/13,1.57,西15舍534
1184,08073320,周嘉欣,男,2003/3/31,1.85,东28舍513
1185,09031313,刘珊,女,2001/9/23,1.71,西15舍534
1186,06028982,宋丽娜,女,2002/10/11,1.67,东8舍239
1187,07034774,单心怡,男,2005/11/25,1.82,东27舍518
1188,01090578,胡贝贝,女,2002/12/7,1.58,东8舍239
1189,05026035,姚思思,女,2004/11/26,1.5,东8舍239
1190,09026294,杜江玮,男,2003/8/12,1.74,东27舍518
1191,06034615,洪心怡,男,2001/4/27,1.93,东27舍518
1192,04098170,李梓源,女,2005/11/15,1.6,东8舍239
1193,05018603,洪艺谦,男,2003/3/11,1.69,东27舍518
1194,05098496,姚屹原,男,2001/8/1,1.76,西27舍338
1195,04096200,华伊杭,男,2002/1/14,1.66,西27舍338
1196,06020995,黄州州,女,2002/1/12,1.54,东1舍208
1197,03019907,余明行,女,2003/5/28,1.76,东1舍208
1198,02040944,沈城波,男,2001/7/23,1.75,西27舍338
1199,04053438,阮佳琦,女,2003/9/24,1.63,东1舍208
1200,02030000,项秉豪,女,2005/11/7,1.54,东1舍208
1201,02071724,陈志杨,男,2004/10/4,1.71,西27舍338
1202,08073011,姚冠军,男,2001/1/24,1.81,东20舍318
1203,07044663,张显龙,男,2003/3/8,1.74,东20舍318
1204,09071657,徐佳骏,男,2005/3/28,1.69,东20舍318
1205,07021156,章皓捷,女,2002/1/12,1.69,东9舍403
1206,03089609,岳凯,男,2003/6/24,1.84,东20舍318
1207,05060409,郑雨佳,女,2001/5/16,1.77,东9舍403
1208,03042504,陈铁,女,2001/8/23,1.65,东9舍403
1209,02031238,缪安琪,男,2002/9/19,1.7,东20舍740
1210,04062517,卢忆文,女,2001/9/12,1.68,东9舍403
1211,04026155,林益舒,女,2005/4/26,1.59,西12舍628
1212,04039383,林琰,女,2005/2/17,1.62,西12舍628
1213,02088566,胡冉欣,女,2002/9/1,1.56,西12舍628
1214,08081164,陈诚,女,2003/11/11,1.62,西12舍628
1215,06091737,张晓武,男,2005/11/3,1.72,东20舍740
1216,03067249,李奇修,女,2001/5/22,1.7,西22舍224
1217,02047977,俞仁杰,女,2001/8/1,1.56,西22舍224
1218,01060296,李静,女,2001/10/24,1.69,西22舍224
1219,05045230,钟明辉,男,2002/1/3,1.88,东20舍740
1220,03094023,曹天涌,女,2001/1/25,1.77,西22舍224
1221,04055842,陈阳,女,2004/1/15,1.5,东14舍207
1222,08068720,崔福洋,女,2005/10/5,1.73,东14舍207
1223,07099600,刘佳韵,男,2005/8/24,1.82,东20舍740
1224,06085392,张立宇,女,2004/4/3,1.82,东14舍207
1225,04094198,蔡海洋,女,2005/6/30,1.74,东14舍207
1226,08029448,魏兢莹,女,2001/5/27,1.77,西15舍626
1227,03043052,陈嘉浚,男,2004/8/5,1.73,西4舍510
1228,07060204,周展超,男,2001/9/27,1.74,西4舍510
1229,04049345,支家和,男,2002/5/14,1.7,西4舍510
1230,07024170,唐艺宁,女,2004/2/5,1.57,西15舍626
1231,01075142,张弛,女,2003/6/1,1.57,西15舍626
1232,07014581,高炳辉,女,2004/11/1,1.76,西15舍626
1233,01046987,吴尚放,女,2004/7/7,1.65,东15舍522
1234,03033939,蔚欢平,男,2004/9/26,1.72,西4舍510
1235,01043766,周澌汶,女,2003/2/17,1.59,东15舍522
1236,07017510,任懿青,女,2002/2/13,1.57,东15舍522
1237,01084726,陈奕翀,女,2001/6/2,1.64,东15舍522
1238,01098709,陈泽昊,女,2004/12/20,1.64,东14舍720
1239,08096098,邹佳潮,男,2005/8/5,1.76,东3舍736
1240,03058720,曾贞鹏,男,2005/4/13,1.73,东3舍736
1241,08052064,胡殿选,男,2004/10/23,1.7,东3舍736
1242,08045094,霍晓怡,女,2002/10/7,1.66,东14舍720
1243,09021236,李玺,男,2004/3/27,1.66,东3舍736
1244,06024819,金子博,女,2005/7/8,1.64,东14舍720
1245,01055426,王懂杰,男,2005/5/25,1.73,东25舍718
1246,04097633,何昕,女,2003/12/18,1.7,东14舍720
1247,07028036,阙合健,女,2003/9/30,1.66,东17舍630
1248,02091734,卢枫,男,2003/12/3,1.87,东25舍718
1249,07076298,郭迦欣,女,2002/11/10,1.67,东17舍630
1250,09088428,盛可淳,男,2004/1/12,1.72,东25舍718
1251,08045146,徐淑越,男,2003/10/10,1.85,东25舍718
1252,05041010,李金龙,男,2004/6/24,1.74,西27舍303
1253,04015459,赵鹏飞,女,2004/11/22,1.68,东17舍630
1254,01091968,阮泽杰,女,2001/12/23,1.6,东17舍630
1255,04015305,陈页凯,男,2002/9/14,1.8,西27舍303
1256,02068611,毛鑫冉,女,2002/9/15,1.76,西26舍621
1257,05044564,王彦添,女,2002/11/12,1.66,西26舍621
1258,06015092,董仕,男,2003/7/13,1.76,西27舍303
1259,09032662,蒙光从,男,2004/11/14,1.7,西27舍303
1260,06099339,宋世雨,女,2001/11/21,1.72,西26舍621
1261,03088653,解天昊,男,2002/10/30,1.84,西1舍310
1262,08053777,莫晨阳,男,2002/10/15,1.93,西1舍310
1263,01056823,王铭,男,2004/11/19,1.84,西1舍310
1264,01052504,杨雪琴,男,2003/11/19,1.72,西1舍310
1265,09060244,沈伟业,男,2004/8/31,1.65,东6舍506
1266,09091610,刘瑞鹏,女,2005/8/30,1.78,西26舍621
1267,03041273,李博宇,女,2001/11/24,1.53,东5舍316
1268,01064168,吴晓强,女,2002/1/10,1.58,东5舍316
1269,05044006,王泽维,男,2005/4/26,1.71,东6舍506
1270,07071571,丁王涛,女,2005/2/27,1.55,东5舍316
1271,03053369,刘玉姝,女,2004/12/8,1.65,东5舍316
1272,04018123,展文丽,女,2004/1/5,1.66,西3舍535
1273,08053495,胡晗,女,2001/4/17,1.59,西3舍535
1274,06082872,梅自寒,男,2002/8/1,1.78,东6舍506
1275,02030411,张乐超,女,2002/1/9,1.75,西3舍535
1276,09063263,王东萌,女,2002/4/24,1.64,西3舍535
1277,01022651,张盼,女,2004/4/20,1.58,东29舍701
1278,04012595,姚丽颖,女,2002/5/11,1.65,东29舍701
1279,01056482,汪雅娟,男,2004/1/17,1.81,东6舍506
1280,05054559,蔡明蒨,女,2003/7/28,1.8,东29舍701
1281,04083835,邵婉悦,女,2004/2/29,1.74,东29舍701
1282,04074877,赵闪闪,男,2003/12/20,1.68,东7舍315
1283,03068261,胡帆汛,女,2002/6/5,1.67,东11舍326
1284,02055885,李哲楷,男,2004/6/18,1.9,东7舍315
1285,09098770,连横,男,2002/12/19,1.75,东7舍315
1286,07079702,李腾跃,男,2004/3/8,1.7,东7舍315
1287,08052282,贾世豪,男,2005/6/11,1.74,东7舍322
1288,04063013,夏龙锐,女,2005/10/6,1.64,东11舍326
1289,06036529,苏晨,男,2005/6/17,1.73,东7舍322
1290,01078846,孙逸飞,女,2003/1/25,1.59,东11舍326
1291,06032983,吴雨荟,女,2002/4/21,1.53,东11舍326
1292,03031945,张瑾,女,2004/11/15,1.64,西20舍637
1293,05078723,金亮,男,2003/7/13,1.84,东7舍322
1294,02059748,王单彤,女,2001/3/5,1.62,西20舍637
1295,05043387,张珂嘉,女,2003/3/11,1.5,西20舍637
1296,02062446,洪海,男,2005/4/13,1.65,东7舍322
1297,07023358,张艺,女,2004/5/21,1.77,西20舍637
1298,07095930,朱婧,女,2002/3/4,1.6,东2舍224
1299,03065503,潘宇彤,男,2001/10/7,1.68,西23舍601
1300,08054243,陈向,女,2001/1/24,1.77,东2舍224
1301,09077151,李文龙,男,2004/1/31,1.67,西23舍601
1302,01072542,申振龙,女,2004/3/5,1.74,东2舍224
1303,04038924,李壮,男,2001/4/18,1.67,西23舍601
1304,02089802,申思源,女,2004/3/28,1.51,东2舍224
1305,09011650,马靓颖,男,2004/12/1,1.58,西23舍601
1306,09028087,王宁,男,2002/10/14,1.83,西5舍608
1307,05035641,金许涵,女,2003/11/28,1.72,西24舍513
1308,02033002,张琪阳,女,2001/8/3,1.7,西24舍513
1309,09060863,吴一凡,女,2004/4/10,1.54,西24舍513
1310,07088499,年志豪,男,2001/5/16,1.75,西5舍608
1311,06017581,胡建,男,2003/3/23,1.67,西5舍608
1312,08097615,吴玲玲,男,2001/10/6,1.69,西5舍608
1313,08016050,洪锐,女,2002/10/5,1.75,西24舍513
1314,02047893,房友宏,女,2001/7/10,1.67,西20舍727
1315,09087374,陶振强,女,2004/10/15,1.7,西20舍727
1316,05016660,刘申奥,女,2005/1/21,1.61,西20舍727
1317,09068989,高星雨,男,2003/3/23,1.76,东18舍333
1318,07072972,陈梦晴,男,2004/3/23,1.8,东18舍333
1319,06053775,孙小凡,男,2003/8/4,1.74,东18舍333
1320,01086629,吴子晨,男,2003/5/10,1.72,东18舍333
1321,08030085,方娟华,男,2004/7/28,1.6,东13舍504
1322,01016290,杨元,男,2001/4/23,1.88,东13舍504
1323,04057112,刘欢,女,2005/10/13,1.59,西20舍727
1324,09085659,彭家星,男,2002/12/29,1.71,东13舍504
1325,06048677,张黎明,男,2003/10/18,1.78,东13舍504
1326,02076652,唐慧婷,男,2005/4/27,1.79,西21舍428
1327,08072621,时占荣,男,2002/5/31,1.6,西21舍428
1328,06016490,钱秀峰,女,2001/6/11,1.58,西10舍719
1329,01085349,汤预,女,2002/5/9,1.66,西10舍719
1330,05026606,李珂珂,女,2002/3/22,1.64,西10舍719
1331,09029812,周嘉宁,女,2004/8/29,1.63,西10舍719
1332,09097028,盛艺涵,女,2002/3/12,1.58,西20舍224
1333,08077013,付克茂,男,2003/11/18,1.67,西21舍428
1334,01093078,周昭,女,2002/12/11,1.74,西20舍224
1335,08039036,郭明宇,女,2005/9/30,1.72,西20舍224
1336,04057154,韩雨璇,女,2005/10/16,1.71,西20舍224
1337,09027396,胡博森,女,2004/2/11,1.69,西11舍733
1338,05028530,王亦洋,女,2004/11/25,1.64,西11舍733
1339,09023505,邱润卿,女,2001/3/16,1.7,西11舍733
1340,05057303,李嘉诚,男,2004/11/16,1.63,西21舍428
1341,06027102,赖溢龙,女,2002/8/8,1.66,西11舍733
1342,03066507,杨光正奥,男,2004/9/4,1.67,西21舍622
1343,09096237,李昕书,男,2002/6/13,1.68,西21舍622
1344,08037202,张熠星,女,2005/9/3,1.67,西11舍533
1345,01087195,靳凯程,女,2003/8/5,1.79,西11舍533
1346,08055309,梁运龙,男,2001/8/6,1.7,西21舍622
1347,02047989,刘振威,男,2004/1/23,1.86,西21舍622
1348,07099280,李玥,女,2002/6/4,1.66,西11舍533
1349,09083261,张熠辉,女,2004/10/3,1.61,西11舍533
1350,09093839,张瀚祺,男,2001/11/19,1.78,西23舍618
1351,04024068,尚季蔚,男,2005/3/30,1.66,西23舍618
1352,03014035,张志成,女,2002/12/16,1.64,东2舍705
1353,08015350,陈新越,男,2004/10/29,1.71,西23舍618
1354,08089701,余皓伟,男,2002/2/25,1.84,西23舍618
1355,05062371,白嘉慧,男,2002/3/23,1.77,东16舍528
1356,06029794,崔瑶瑶,男,2004/4/24,1.82,东16舍528
1357,05040460,余逸凡,男,2004/1/10,1.67,东16舍528
1358,08050928,陈丛水,男,2005/11/15,1.9,东16舍528
1359,01019206,朱文乐,男,2002/9/6,1.62,东20舍425
1360,09073736,张子宸,女,2004/9/4,1.53,东2舍705
1361,05046935,陈禹汐,男,2004/5/16,1.77,东20舍425
1362,01043790,冯子洋,女,2005/6/17,1.55,东2舍705
1363,01039311,张恒,女,2002/2/23,1.62,东2舍705
1364,04040062,谢铮涵,男,2002/12/24,1.66,东20舍425
1365,01096461,李潭,男,2003/6/27,1.66,东20舍425
1366,05057126,曲一畅,男,2001/9/1,1.77,东4舍411
1367,01039204,钱政鑫,女,2003/2/20,1.72,西11舍405
1368,08057614,李福超,男,2003/5/16,1.67,东4舍411
1369,09011759,卢佳琳,男,2005/12/21,1.77,东4舍411
1370,04019161,黄培煜,女,2001/5/31,1.7,西11舍405
1371,03072599,高正丰,女,2003/12/3,1.66,西11舍405
1372,09016542,谢镇涛,男,2004/3/28,1.75,东4舍411
1373,06082369,王丽婷,女,2003/6/14,1.62,西11舍405
1374,04093387,郭玉露,女,2004/12/31,1.86,东9舍620
1375,02054605,何琳,女,2001/4/27,1.66,东9舍620
1376,07048768,陈宇翔,男,2001/2/3,1.79,西6舍512
1377,05061909,连林轩,男,2004/7/14,1.84,西6舍512
1378,06087079,肖雪茹,女,2002/9/14,1.71,东9舍620
1379,05046672,范日晟,女,2001/2/5,1.6,东9舍620
1380,06015700,林源晟,女,2002/7/31,1.54,东9舍339
1381,01039423,宋韬,男,2004/5/13,1.76,西6舍512
1382,07064353,江玉萍,男,2001/7/16,1.76,西6舍512
1383,04078278,林小丽,女,2004/1/21,1.55,东9舍339
1384,03072257,李建华,男,2005/6/24,1.75,西21舍224
1385,06012331,林雅慧,男,2002/7/21,1.68,西21舍224
1386,01021262,罗文斌,女,2003/2/16,1.67,东9舍339
1387,05094576,李智炜,女,2004/2/1,1.45,东9舍339
1388,07077124,张少栋,男,2003/3/30,1.6,西21舍224
1389,01085478,张恩俊,男,2005/10/21,1.69,西21舍224
1390,08037133,林芊盈,男,2005/11/16,1.91,东18舍316
1391,08082462,张泽专,男,2004/10/31,1.84,东18舍316
1392,09035133,邹坤恒,女,2002/8/31,1.68,西16舍734
1393,07087620,舒杰,男,2003/8/13,1.73,东18舍316
1394,05091859,陈玮鑫,男,2003/9/21,1.57,东18舍316
1395,08017811,黄朝威,女,2001/3/12,1.56,西16舍734
1396,06088708,聂安童,女,2003/1/29,1.65,西16舍734
1397,03075542,刘妍立,女,2001/2/25,1.63,西16舍734
1398,05053382,赖欣怡,男,2004/8/13,1.83,西19舍303
1399,07071505,林立国,女,2004/1/31,1.67,东5舍217
1400,04069290,施尔琦,女,2001/12/29,1.63,东5舍217
1401,09098242,陈薇枫,女,2004/5/27,1.67,东5舍217
1402,04090480,张海怡,男,2005/11/12,1.78,西19舍303
1403,03082464,王湾,女,2004/7/13,1.69,东5舍217
1404,04054073,陈文标,男,2005/2/19,1.7,西19舍303
1405,01027506,史志海,男,2002/11/3,1.82,西19舍303
1406,03032865,王彦清,男,2005/12/23,1.82,西13舍207
1407,09032690,黄劼睿,女,2005/5/18,1.7,西26舍220
1408,01078882,黄羽菲,女,2003/2/28,1.82,西26舍220
1409,05074189,庄艺翔,女,2004/12/11,1.53,西26舍220
1410,09016882,杜佳荣,男,2003/4/12,1.82,西13舍207
1411,04020109,何晨康,男,2002/6/2,1.65,西13舍207
1412,04066020,陈俊峰,男,2005/3/9,1.79,西13舍207
1413,07021243,何琳,女,2002/5/16,1.57,西26舍220
1414,05072479,苏炜途,男,2005/7/18,1.78,西27舍508
1415,03057795,韩泓堃,女,2002/6/3,1.68,东17舍511
1416,08045672,尹一多,男,2002/1/8,1.77,西27舍508
1417,06043503,杨博远,女,2005/1/19,1.68,东17舍511
1418,01049757,黄仁强,女,2001/10/23,1.64,东17舍511
1419,01032527,王婉月,女,2005/12/13,1.7,东17舍511
1420,02082916,黄绍淞,男,2005/3/19,1.8,西27舍508
1421,01044020,石泱烜,女,2002/5/15,1.46,西8舍234
1422,06070845,蒋俊才,男,2001/9/30,1.77,西27舍508
1423,09039295,朱慧敏,男,2001/2/7,1.8,东28舍537
1424,06064443,于世龙,男,2003/4/11,1.57,东28舍537
1425,06075276,谢吉轩,男,2001/9/20,1.67,东28舍537
1426,05016965,朱倚林,女,2001/12/13,1.63,西8舍234
1427,09094167,朱云帆,女,2001/1/19,1.73,西8舍234
1428,01019140,陈可昕,女,2004/2/19,1.73,西8舍234
1429,08089880,李依伦,男,2003/7/8,1.78,东28舍537
1430,04044045,曾国清,男,2003/7/27,1.71,东23舍501
1431,03015974,邵天亚,男,2002/1/30,1.87,东23舍501
1432,03039092,何念念,女,2003/12/16,1.67,东21舍319
1433,06035949,陈思翔,男,2003/6/17,1.65,东23舍501
1434,03092493,廖陶东,男,2003/5/13,1.74,东23舍501
1435,05035925,吴文婷,女,2005/4/9,1.55,东21舍319
1436,09063701,林宙光,男,2003/11/11,1.73,东23舍325
1437,01060737,唐伟,女,2005/2/7,1.69,东21舍319
1438,01068447,罗长江,女,2002/4/3,1.73,东21舍319
1439,03037575,王滨强,男,2003/6/22,1.74,东23舍325
1440,07030509,林云龙,女,2003/11/25,1.74,西10舍620
1441,09072805,余振宇,女,2004/11/22,1.71,西10舍620
1442,01087667,吴韶宇,女,2005/5/20,1.78,西10舍620
1443,05035984,黄俊强,女,2005/12/13,1.59,西10舍620
1444,09021854,陈祥,男,2003/5/23,1.86,东23舍325
1445,01097653,张佳丽,女,2004/5/18,1.66,东11舍530
1446,02022257,刘雯雯,男,2001/5/31,1.64,东23舍325
1447,01058583,张嘉麟,男,2004/9/28,1.76,西25舍305
1448,07039921,郭文哲,女,2001/5/26,1.66,东11舍530
1449,06089932,夏东方,男,2003/5/28,1.71,西25舍305
1450,07034257,林文彦,女,2004/1/5,1.67,东11舍530
1451,01091989,郑幼聪,女,2005/6/11,1.8,东11舍530
1452,02082592,王玉珏,女,2003/4/1,1.71,东1舍207
1453,07063649,陈昀,女,2001/5/22,1.71,东1舍207
1454,07033047,周建安,女,2005/2/14,1.76,东1舍207
1455,06063366,吴新宇,女,2001/1/7,1.6,东1舍207
1456,08062188,王玲,男,2005/3/30,1.7,西25舍305
1457,02094577,邓艺婷,男,2003/4/6,1.93,西25舍305
1458,02072461,吴真妮,女,2001/8/5,1.47,东8舍406
1459,01051774,翁辰龙,女,2001/9/2,1.65,东8舍406
1460,07013812,罗舒婧,男,2003/8/10,1.73,东24舍217
1461,05027211,吴琦欣,男,2005/10/22,1.74,东24舍217
1462,04076832,张芳妹,男,2001/9/15,1.84,东24舍217
1463,05018475,郑双杰,男,2001/9/3,1.74,东24舍217
1464,06052476,林舒欣,女,2001/1/13,1.68,东8舍406
1465,08057145,陈琳,男,2002/12/1,1.74,西18舍215
1466,04017353,朱雨欣,女,2004/11/20,1.8,东8舍406
1467,06076661,戴清慧,男,2001/5/31,1.83,西18舍215
1468,04051257,汪巧莹,女,2004/1/18,1.68,东8舍234
1469,01072341,余大炜,女,2002/2/21,1.55,东8舍234
1470,06020471,张雯轩,女,2004/3/29,1.63,东8舍234
1471,06081889,黄俊柠,男,2001/9/16,1.82,西18舍215
1472,08071313,驰宇,男,2004/1/15,1.87,西18舍215
1473,09031038,李鑫,男,2005/11/25,1.81,西1舍511
1474,04024903,王昊淼,男,2002/8/4,1.8,西1舍511
1475,08050982,郭新力,女,2001/10/22,1.68,东8舍234
1476,05045823,黄泽敏,女,2002/10/21,1.67,西10舍339
1477,03067575,苏文显,男,2004/9/4,1.86,西1舍511
1478,02069645,何居远,男,2005/3/9,1.71,西1舍511
1479,04011710,刘盈,女,2003/6/15,1.72,西10舍339
1480,06031184,曾维翰,女,2001/2/2,1.58,西10舍339
1481,04099587,江中宇,男,2003/4/15,1.72,东13舍508
1482,09027363,何凯锋,女,2001/4/13,1.62,西10舍339
1483,03066433,徐峻廷,女,2005/6/8,1.49,西20舍510
1484,05069803,句晨男,男,2005/11/13,1.73,东13舍508
1485,04090668,梁宇航,女,2003/6/22,1.79,西20舍510
1486,09014774,陈美琳,女,2005/9/9,1.59,西20舍510
1487,03058397,李雯琪,男,2001/3/13,1.72,东13舍508
1488,02065269,谢天,女,2005/5/25,1.62,西20舍510
1489,01095773,陈思宇,女,2002/12/31,1.65,东15舍503
1490,09022248,刘建法,女,2001/2/5,1.72,东15舍503
1491,05054920,林右侪,女,2002/8/28,1.57,东15舍503
1492,05056477,欧鸿泽,男,2001/2/8,1.7,东13舍508
1493,01085465,王耀祥,男,2005/10/3,1.73,西18舍722
1494,04036284,王筱彤,女,2003/12/16,1.73,东15舍503
1495,08060540,王言光,男,2004/8/6,1.63,西18舍722
1496,08066654,王睿瑶,女,2002/10/8,1.54,东21舍707
1497,02027623,张琦璠,女,2001/6/20,1.64,东21舍707
1498,06043952,王书宇,女,2004/12/11,1.45,东21舍707
1499,05059819,蔡宸煜,女,2004/5/31,1.62,东21舍707
1500,08072781,李潇攀,男,2001/6/27,1.8,西18舍722
1501,03093459,殷玥,女,2002/5/1,1.62,东5舍420
1502,08092540,黄翔靖,女,2001/7/27,1.7,东5舍420
1503,05058607,毛喆,男,2005/9/23,1.74,西18舍722
1504,02090012,薛力恺,男,2005/12/7,1.63,东24舍526
1505,02055093,李温龙,男,2002/8/16,1.82,东24舍526
1506,05011346,方家杰,男,2004/7/7,1.63,东24舍526
1507,03074848,徐戈辉,女,2004/7/9,1.62,东5舍420
1508,06038763,梁剑,女,2002/2/1,1.7,东5舍420
1509,07058850,蔡圳伟,男,2002/12/20,1.85,东24舍526
1510,07098257,刘章华,女,2003/10/21,1.76,西26舍521
1511,07094166,胡云斌,女,2003/12/30,1.63,西26舍521
1512,06031718,王诗露,男,2004/2/2,1.75,西13舍224
1513,02051296,陈盟方,男,2005/3/21,1.77,西13舍224
1514,03038468,谢浩宇,女,2003/4/22,1.81,西26舍521
1515,06019595,周昌,女,2003/4/7,1.67,西26舍521
1516,05036215,方清,男,2003/9/13,1.82,西13舍224
1517,01099585,邓焱,男,2002/10/7,1.75,西13舍224
1518,03015027,郭青红,男,2001/2/19,1.77,东27舍332
1519,03057766,李舒晴,男,2003/6/21,1.74,东27舍332
1520,08086134,康津津,女,2004/2/10,1.69,东15舍640
1521,03033707,张念家,男,2001/7/17,1.73,东27舍332
1522,07082793,付利文,男,2005/11/26,1.67,东27舍332
1523,02051679,王慧慧,女,2001/6/12,1.61,东15舍640
